month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.008997,431,58,525,79.64,431,1.927,525,4.383,558
11,1,2013,0.004161,243,40,346,76.87,243,6.366,346,3.848,372
11,2,2013,0.002027,179,21,281,49.6,179,16.84,281,4.574,296
11,3,2013,0.001893,98,19,189,43.59,98,20.01,189,4.427,201
11,4,2013,0.003322,77,21,145,42.87,77,20.34,145,4.389,149
11,5,2013,0.002224,92,21,176,50.22,93,16.89,176,4.185,183
11,6,2013,0.001632,105,19,192,45.23,105,19.07,192,4.386,209
11,7,2013,0.001768,168,20,310,48.52,168,17.5,310,4.461,320
11,8,2013,0.00224,209,20.5,392,51.5,209,18.47,393,4.376,433
11,9,2013,0.002239,268,21,504,52.94,269,18.23,504,4.287,527
11,10,2013,0.002142,302,24,526,58.05,302,15.52,526,3.867,556
11,11,2013,0.002333,364,26,564,73.81,364,13.53,564,4.404,594
11,12,2013,0.002993,384,28,569,73.44,384,12.43,569,4.347,605
11,13,2013,0.004348,366,34,557,75.38,366,9.997,557,4.319,611
11,14,2013,0.004228,413,38,606,75.94,413,9.533,606,4.277,674
11,15,2013,0.003628,477,48,667,77.5,477,7.568,667,3.719,704
11,16,2013,0.004555,590,52,765,78.66,590,5.153,765,3.877,825
11,17,2013,0.006535,656,55,834,81.29,655,2.833,835,3.636,898
11,18,2013,0.008221,712,57,911,79.89,712,2.428,911,3.868,977
11,19,2013,0.01077,776,51,925,80.43,777,1.807,925,3.624,1022
11,20,2013,0.01487,893,60,1070,82.03,893,1.371,1070,3.778,1152
11,21,2013,0.01748,970,62,1110,84.29,970,1.127,1110,3.625,1192
11,22,2013,0.01663,746,59,863,81.29,746,1.297,863,3.684,946
11,23,2013,0.01602,542,62,653,82.41,542,1.267,653,3.813,714
11,0,2012,0.002063,436,20,782,49.64,436,14.99,782,3.246,830
11,1,2012,0.002066,314,20,608,48.41,314,16.55,608,3.286,640
11,2,2012,0.002219,182,21,385,51.68,182,15.85,385,3.243,394
11,3,2012,0.002271,135,20,278,52.83,136,14.94,278,3.197,284
11,4,2012,0.00226,103,21,193,45.98,103,16.3,193,3.293,209
11,5,2012,0.001815,76,20,163,42.87,76,18.55,163,3.297,168
11,6,2012,0.002579,112,20,218,46.08,112,18.42,218,3.254,227
11,7,2012,0.00251,156,21,309,45.64,156,19.08,309,3.214,324
11,8,2012,0.002485,199,19,410,49.99,199,19.18,410,3.288,433
11,9,2012,0.002427,259,20,541,48.75,259,18.15,541,3.254,580
11,10,2012,0.002031,341,20,670,48.76,341,17.21,670,3.254,708
11,11,2012,0.001559,388,20,774,49.28,389,17.8,774,3.216,819
11,12,2012,0.001957,382,19,725,48.63,382,18.27,725,3.209,783
11,13,2012,0.001719,410,21,785,49.7,411,17.77,785,3.216,825
11,14,2012,0.002653,418,20.5,854,56.34,418,17.51,854,3.252,890
11,15,2012,0.00208,410,20,836,49.98,410,16.9,836,3.249,912
11,16,2012,0.002155,471,20.5,956,51.5,470,17.12,957,3.269,1022
11,17,2012,0.002373,533,20,1036,51.07,533,16.07,1036,3.255,1094
11,18,2012,0.001996,591,20,1164,51.5,591,17.15,1164,3.219,1245
11,19,2012,0.002177,662,20,1208,52.09,662,17.11,1208,3.214,1273
11,20,2012,0.002253,719,20,1288,52.83,721,15.48,1288,3.251,1377
11,21,2012,0.002134,745,21,1280,51.97,745,14.82,1280,3.253,1345
11,22,2012,0.002414,779,23,1250,53.9,779,12.83,1250,3.252,1325
11,23,2012,0.002498,681,22,1114,51.61,681,14.87,1114,3.246,1193
10,0,2012,0.003675,596,21,929,50.57,597,10.66,929,3.253,979
10,1,2012,0.001982,352,20,595,44.77,352,16.58,595,3.272,641
10,2,2012,0.001712,232,19,450,44.38,232,17.39,450,3.256,473
10,3,2012,0.001236,146,19,297,47.51,146,18.75,297,3.281,320
10,4,2012,0.001263,95,19,218,41.47,95,18.36,218,3.289,237
10,5,2012,0.001835,78,19,183,44.77,78,16.93,183,3.252,182
10,6,2012,0.002268,115,19,258,47.45,115,19.85,258,3.291,266
10,7,2012,0.00203,149,19,338,43.04,149,20.14,338,3.288,359
10,8,2012,0.001626,225,19,453,42.5,226,18.38,453,3.287,477
10,9,2012,0.001881,282,19,539,46.06,282,16.93,539,3.284,580
10,10,2012,0.002056,312,19,647,48.79,312,18.31,647,3.255,680
10,11,2012,0.002302,340,19,743,47.1,341,18.68,743,3.251,796
10,12,2012,0.001693,368,20,698,45.2,368,16.61,698,3.251,758
10,13,2012,0.001808,416,20,808,50.32,416,16.81,808,3.25,847
10,14,2012,0.0017,473,20,845,45.85,473,17.9,845,3.252,908
10,15,2012,0.002088,472,19,918,44.75,472,16.92,918,3.247,991
10,16,2012,0.001865,486,20,989,48.85,486,16.69,989,3.252,1068
10,17,2012,0.00207,593,20,1165,49.42,593,17.08,1165,3.254,1197
10,18,2012,0.00218,653,20,1233,50.22,653,15.8,1233,3.251,1307
10,19,2012,0.001975,707,20,1313,49.62,707,14.83,1313,3.249,1350
10,20,2012,0.002346,866,22,1321,49.26,867,13,1321,3.249,1372
10,21,2012,0.003205,785,24,1247,50.68,784,11.14,1248,3.24,1308
10,22,2012,0.00485,791,27,1287,51.41,791,8.357,1287,3.174,1339
10,23,2012,0.004434,718,23,1079,49.16,717,10.09,1080,3.242,1155
10,0,2013,0.009983,377,41,509,80.43,377,2.968,509,3.587,542
10,1,2013,0.004744,252,52,339,80.23,252,3.648,339,3.586,365
10,2,2013,0.002326,124,23,231,66.29,124,14.12,231,3.588,242
10,3,2013,0.002411,99,20,188,51.35,99,19.75,188,3.684,197
10,4,2013,0.00209,78,21,141,47.45,78,17.96,141,3.698,154
10,5,2013,0.002863,93,20,165,47.73,93,18.43,165,3.633,170
10,6,2013,0.002385,98,20.5,194,45.34,98,17.6,194,3.624,205
10,7,2013,0.00305,165,21,268,46.78,165,16.08,268,3.703,284
10,8,2013,0.002229,200,21,375,48.16,200,17.23,375,3.65,392
10,9,2013,0.002714,244,20,409,47.41,244,16.74,409,3.763,436
10,10,2013,0.002244,253,22,449,50.46,253,18.06,449,3.744,480
10,11,2013,0.002519,292,22,525,58.54,292,15.37,525,3.715,573
10,12,2013,0.002594,344,23,553,64.39,345,12,553,3.686,598
10,13,2013,0.002918,354,24,548,62.42,354,11.78,548,3.627,583
10,14,2013,0.004046,407,30,649,71.56,407,12.69,649,3.591,675
10,15,2013,0.004671,400,38,634,75.75,400,8.69,634,3.581,697
10,16,2013,0.002779,566,44,729,79.36,566,7.212,729,3.584,790
10,17,2013,0.003811,571,42,767,76.53,571,5.749,767,3.623,813
10,18,2013,0.00603,639,46,825,78.78,639,3.38,825,3.587,878
10,19,2013,0.008418,698,50,890,80.51,698,2.442,890,3.584,955
10,20,2013,0.01193,753,57,955,83.33,753,1.923,955,3.543,1049
10,21,2013,0.01506,765,61,942,84.07,765,1.388,942,3.592,994
10,22,2013,0.01584,795,61,935,85.47,795,1.37,935,3.553,1024
10,23,2013,0.01237,650,50,806,82.47,650,1.962,806,3.55,874
4,0,2014,0.001813,379,22,664,51.71,379,17.58,666,4.509,707
4,1,2014,0.002432,247,25,428,55.11,247,16.15,428,4.464,467
4,2,2014,0.002191,183,23,292,48.74,183,14.46,292,4.448,316
4,3,2014,0.002656,114,23,208,48.15,114,15.65,208,4.561,237
4,4,2014,0.001711,82,21,169,47.32,82,18.89,169,4.466,177
4,5,2014,0.00132,91,20,158,38.24,91,26.7,158,7.188,168
4,6,2014,0.0015,146,21,239,42.24,146,18.4,239,4.636,270
4,7,2014,0.001753,220,21,392,46.66,220,17.95,392,4.506,422
4,8,2014,0.001772,307,22,506,51.77,307,16.75,506,4.505,547
4,9,2014,0.002415,386,23,631,50.62,386,16.8,631,4.638,687
4,10,2014,0.0017,373,22,679,46.57,373,18.76,679,4.465,732
4,11,2014,0.002071,422,23,726,52.3,422,15.55,726,4.464,772
4,12,2014,0.001352,362,24,660,48.74,362,17.57,660,4.465,719
4,13,2014,0.001659,453,23,788,50.62,453,15.46,788,4.455,863
4,14,2014,0.001884,415,23,746,51.72,415,17.83,746,4.464,800
4,15,2014,0.002117,414,23,740,51.99,414,16.62,740,4.463,785
4,16,2014,0.002215,515,23,867,59.04,515,16.71,868,4.453,912
4,17,2014,0.001801,609,22,978,50.92,609,15.33,978,4.464,1067
4,18,2014,0.001555,600,22,1009,49.36,600,16.78,1009,4.622,1083
4,19,2014,0.001629,722,22,1161,48.28,722,16.21,1161,4.507,1237
4,20,2014,0.001757,903,22,1171,43.53,903,10.9,1171,4.514,1264
4,21,2014,0.002256,887,22,1094,41.34,887,8.205,1094,4.487,1179
4,22,2014,0.00142,744,22.5,1038,49.09,744,12.33,1038,4.467,1130
4,23,2014,0.00235,589,23,975,54.4,589,16.34,975,4.503,1034
4,0,2013,0.002171,335,23,595,62.33,335,15.68,595,3.444,631
4,1,2013,0.001916,244,20,466,48.84,244,17.22,466,3.482,493
4,2,2013,0.001834,146,21,302,50.2,146,18.51,302,3.483,317
4,3,2013,0.002301,91,21,194,57.65,91,19.34,194,3.481,204
4,4,2013,0.002806,78,21,145,49.2,78,18.82,145,3.481,154
4,5,2013,0.003029,79,21,137,49.18,78,19.86,138,3.492,141
4,6,2013,0.002797,92,22,184,46.94,92,19.14,184,3.449,189
4,7,2013,0.002167,136,21,276,44.55,136,19.78,276,3.45,287
4,8,2013,0.002882,178,21,363,46.37,178,19.69,363,3.443,381
4,9,2013,0.00292,245,21,496,45.5,246,18.47,496,3.445,530
4,10,2013,0.001911,232,21,493,47.73,232,17.9,493,3.45,516
4,11,2013,0.002287,314,21,558,49.78,314,18.65,558,3.45,577
4,12,2013,0.002369,291,21,535,48.02,291,18.19,535,3.444,558
4,13,2013,0.002243,321,21,576,49.12,321,16.71,576,3.452,606
4,14,2013,0.00238,343,21,602,55.66,343,16.5,602,3.45,635
4,15,2013,0.003287,369,23,695,51.94,369,16.16,695,3.448,711
4,16,2013,0.002638,439,24,736,56.72,439,14.96,736,3.444,762
4,17,2013,0.002942,424,22,770,53.8,425,15.82,770,3.448,810
4,18,2013,0.002816,488,21,871,56.28,489,16.17,871,3.475,911
4,19,2013,0.00315,553,24,898,58.58,553,14.71,898,3.451,937
4,20,2013,0.004257,657,33,947,65.13,657,9.883,947,3.442,997
4,21,2013,0.003296,695,35,939,69,695,9.367,939,3.411,1009
4,22,2013,0.004439,711,39,996,74.34,711,6.707,996,3.437,1059
4,23,2013,0.002794,528,30,802,68.35,528,10.87,802,3.441,847
4,0,2012,0.001518,532,19,1239,49.84,532,16.76,1240,3.239,1298
