month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.001505,18,50.5,18,99.42,18,5.644,18,4.572,35
11,1,2013,0.001818,11,54,11,62.52,11,14.31,11,3.621,19
11,2,2013,0.001782,7,52,7,87.08,7,11.98,7,1.155,9
11,3,2013,0.004132,3,46,3,62.49,3,14.79,3,3.614,12
11,4,2013,0.0005999,5,53,5,64.66,5,16.2,5,1.766,4
11,5,2013,0.001418,3,53,3,58.65,3,15.18,3,3.61,4
11,6,2013,0.0008282,5,39,5,58.24,5,19.69,5,3.613,8
11,7,2013,0.0009932,10,48,10,62.3,10,14.92,10,3.594,10
11,8,2013,0.005047,4,43.5,4,77.31,4,9.341,4,2.572,7
11,9,2013,0.002852,11,46,11,58.76,11,11.11,11,3.671,17
11,10,2013,0.002714,18,49,18,71.23,18,8.443,18,1.269,28
11,11,2013,0.002209,15,45,15,56.72,15,12.05,15,2.223,21
11,12,2013,0.003053,19,47,19,64.4,19,10.08,19,1.958,27
11,13,2013,0.001253,16,47.5,16,70.8,16,12.36,16,2.253,24
11,14,2013,0.004192,13,51,13,65.68,13,9.172,13,2.237,26
11,15,2013,0.002579,18,48,18,70.38,18,10.41,18,3.621,27
11,16,2013,0.002006,24,44,24,62.61,24,8.439,24,3.593,34
11,17,2013,0.002505,17,49,17,77.49,17,7.08,17,4.268,26
11,18,2013,0.001779,19,47,19,62.22,19,13.64,19,3.579,39
11,19,2013,0.001467,17,48,17,64.81,17,13.5,17,3.622,22
11,20,2013,0.002243,16,48,16,67.5,16,11.51,16,3.259,29
11,21,2013,0.001892,34,43,34,65.16,34,4.786,34,3.607,51
11,22,2013,0.002896,33,47,33,74.61,33,5.257,33,0.9509,53
11,23,2013,0.002104,35,48,35,69.75,35,8.769,35,3.58,46
11,0,2012,0.003434,17,41,17,79.21,17,14.44,17,2.127,34
11,1,2012,0.007273,14,45,14,75.14,14,8.879,14,0.8369,40
11,2,2012,0.004438,13,42,13,73.91,13,18.25,13,2.937,19
11,3,2012,0.002286,11,44,11,57.13,11,12.89,11,3.207,25
11,4,2012,0.003841,11,43,11,68.34,11,6.104,11,3.165,16
11,5,2012,0.002095,7,34,7,55.19,7,13.69,7,3.612,13
11,6,2012,0.005739,7,45,7,59.8,7,5.702,7,3.38,9
11,7,2012,0.01583,3,34,3,60.5,3,5.926,3,2.752,6
11,8,2012,0.003375,9,47,9,63.65,9,16.06,9,3.229,14
11,9,2012,0.003822,20,42,20,54.01,20,12.15,20,2.405,29
11,10,2012,0.002291,12,41.5,12,52.48,12,16.39,12,2.298,20
11,11,2012,0.003968,27,44,27,72.11,27,11.25,27,1.165,42
11,12,2012,0.005068,21,44,21,54.73,21,8.501,21,2.381,30
11,13,2012,0.004176,13,43,13,82.38,13,5.516,13,2.53,32
11,14,2012,0.005087,21,48,21,79.17,21,10.75,21,2.649,30
11,15,2012,0.002039,31,40,31,48.97,31,15.05,31,2.866,42
11,16,2012,0.003547,25,42,25,70.53,25,9.237,25,2.709,40
11,17,2012,0.002582,39,45,39,66.05,39,8.579,39,2.72,57
11,18,2012,0.002608,27,41,27,61.3,27,13.29,27,2.371,47
11,19,2012,0.003243,40,40.5,40,64.22,40,7.659,40,2.765,57
11,20,2012,0.002231,39,41,39,61.71,39,6.538,39,3.054,55
11,21,2012,0.002134,24,40.5,24,70.53,24,10.61,24,3.128,33
11,22,2012,0.00188,29,41,29,62.33,29,10.43,29,3.347,44
11,23,2012,0.002397,38,44.5,38,72.19,38,8.488,38,3.049,50
10,0,2012,0.00491,74,69.5,74,101.9,74,8.767,74,3.369,108
10,1,2012,0.002038,49,52,49,104.1,49,6.687,49,3.373,81
10,2,2012,0.002107,48,76.5,48,97.21,48,6.745,48,3.397,66
10,3,2012,0.003106,36,52,36,92.99,36,9.873,36,3.36,51
10,4,2012,0.004298,17,81,17,106,17,7.782,17,3.321,30
10,5,2012,0.001997,16,46,16,86.42,16,10.59,16,3.593,26
10,6,2012,0.00179,10,61.5,10,83.95,10,11.55,10,2.806,24
10,7,2012,0.003995,18,46,18,72.51,18,10.11,18,3.653,32
10,8,2012,0.002155,17,45,17,60.65,17,14.86,17,3.256,31
10,9,2012,0.003491,22,41.5,22,55.08,22,11.26,22,3.366,36
10,10,2012,0.003164,39,41,39,56.71,39,9.535,39,3.051,53
10,11,2012,0.002646,35,44,35,55.54,35,10.25,35,3.103,54
10,12,2012,0.004599,38,46,38,85.99,38,4.708,38,2.547,65
10,13,2012,0.001695,45,48,45,93.11,45,8.586,45,2.983,74
10,14,2012,0.002656,64,70,64,95.63,64,7.34,64,3.21,91
10,15,2012,0.004582,54,61.5,54,97.73,54,6.86,54,3.146,98
10,16,2012,0.002745,59,47,59,87.13,59,6.238,59,2.847,97
10,17,2012,0.004158,58,46,58,93.29,58,6.643,58,2.746,93
10,18,2012,0.004119,68,44,68,87.11,68,9.272,68,2.988,101
10,19,2012,0.003684,62,45,62,80.56,62,7.547,62,3.213,100
10,20,2012,0.002279,63,45,63,88.74,63,7.206,63,3.209,87
10,21,2012,0.00289,74,48.5,74,93.61,74,6.929,74,3.409,97
10,22,2012,0.004343,87,51,87,93.71,87,5.454,87,3.149,118
10,23,2012,0.0035,78,48.5,78,94.6,78,4.906,78,3.113,101
10,0,2013,0.003734,32,56,32,86.04,32,9.236,32,2.666,53
10,1,2013,0.005458,24,54,25,67.86,25,8.193,24,2.832,30
10,2,2013,0.002054,4,59,4,71.55,4,17.97,4,5.587,9
10,3,2013,0.002607,8,43,8,57.59,8,11.16,8,3.601,14
10,4,2013,0.009172,7,57,7,70.71,7,13.37,7,3.615,8
10,5,2013,0.009542,3,68,3,164.4,3,5.112,3,3.306,4
10,6,2013,0.002127,12,52,12,65.93,12,11.49,12,3.621,18
10,7,2013,0.003279,8,60,8,78.78,8,6.763,8,3.402,11
10,8,2013,0.003303,17,51,17,70.64,17,12.59,17,3.359,21
10,9,2013,0.002083,20,52,23,64.21,23,11.26,20,3.509,28
10,10,2013,0.002023,20,43,21,60.08,21,10.62,20,3.045,21
10,11,2013,0.00275,13,53,13,70.14,13,12.03,13,1.155,29
10,12,2013,0.002421,23,47,24,63.32,24,14.61,23,3.616,32
10,13,2013,0.00304,24,56,27,72.59,27,7.171,24,1.18,49
10,14,2013,0.002607,42,46,41,63.55,41,11.3,42,2.866,57
10,15,2013,0.001178,21,50,21,69.85,21,10.66,21,3.499,31
10,16,2013,0.002705,29,49,29,76.15,29,7.415,29,1.232,39
10,17,2013,0.001774,38,53,39,72.88,39,11.97,38,3.533,49
10,18,2013,0.001257,32,49,34,62.49,34,11.67,32,2.39,43
10,19,2013,0.001956,32,52,32,65.89,32,13.63,32,3.616,40
10,20,2013,0.002752,29,50,30,76.06,30,11.89,29,3.609,41
10,21,2013,0.001584,33,46,33,67.67,33,12.14,33,3.588,36
10,22,2013,0.002429,38,48,39,68.06,39,11.93,38,3.33,49
10,23,2013,0.002057,32,52,33,69.18,33,13.49,32,3.617,38
4,0,2014,0.002357,28,48.5,28,72.93,28,8.784,28,3.419,30
4,1,2014,0.001048,14,45,14,59.16,14,15,14,5.837,18
4,2,2014,0.0009009,9,37,9,53.45,9,10.22,9,5.838,11
4,3,2014,0.001291,16,48.5,16,66.73,16,15.96,16,5.887,21
4,4,2014,0.001081,7,48,7,60.17,7,17.75,7,5.449,9
4,5,2014,0.003501,15,35,15,59.9,15,12.21,15,1.244,19
4,6,2014,0.002052,11,47,11,59.38,11,27.66,11,5.927,14
4,7,2014,0.004432,13,47,13,57.77,13,14.15,13,4.495,16
4,8,2014,0.0005508,5,40,5,49.43,5,15.23,5,1.544,8
4,9,2014,0.002308,43,41,43,53.75,43,14.63,43,1.856,49
4,10,2014,0.002911,30,51,30,66.64,30,11.71,30,2.074,40
4,11,2014,0.003567,39,47,39,58.5,39,12.19,39,5.829,49
4,12,2014,0.003297,51,45,51,58.89,51,13.93,51,2.306,64
4,13,2014,0.001856,56,43,56,62.4,56,14.02,56,1.395,76
4,14,2014,0.001657,50,51.5,50,68.03,50,11.7,50,1.663,63
4,15,2014,0.001618,56,48,56,62.83,56,13.74,56,4.566,68
4,16,2014,0.003706,34,51.5,34,65.69,34,9.514,34,2.031,45
4,17,2014,0.002293,34,46,34,62.07,34,11.16,34,3.249,54
4,18,2014,0.002643,42,49.5,42,62.93,42,10.81,42,4.258,53
4,19,2014,0.002755,46,51,46,70.69,46,11.15,46,2.268,59
4,20,2014,0.003236,28,46,28,69.63,28,8.004,28,5.689,42
4,21,2014,0.002113,34,48,34,61.71,34,8.392,34,5.365,45
4,22,2014,0.002554,33,44,33,57.2,33,8.906,33,5.686,41
4,23,2014,0.002234,38,48,38,74.66,38,8.7,38,2.989,46
4,0,2013,0.002549,15,46,15,76.76,15,12.59,15,3.361,19
4,1,2013,0.004713,24,44,24,62.29,24,8.963,24,2.868,36
4,2,2013,0.002726,8,42,8,76.8,8,9.231,8,3.186,13
4,3,2013,0.01546,7,44,7,109.8,7,1.076,7,3.087,10
4,4,2013,0.002195,8,42.5,8,84.49,8,9.969,8,3.101,10
4,5,2013,0.001836,6,40.5,6,104.2,6,8.259,6,3.39,10
4,6,2013,0.004094,12,40,12,54.47,12,9.401,12,4.506,21
4,7,2013,0.007483,5,44,5,51.75,5,6.474,5,3.624,8
4,8,2013,0.000815,7,43,7,54.76,7,12.16,7,3.347,10
4,9,2013,0.00179,13,42,13,54.48,13,13.29,13,1.924,15
4,10,2013,0.001969,23,39,23,53.4,23,9.343,23,2.643,33
4,11,2013,0.003075,12,44.5,12,58.94,12,11.6,12,1.573,19
4,12,2013,0.00366,13,46,13,63.34,13,11.5,13,2.607,23
4,13,2013,0.00538,24,41,24,72.59,24,12.83,24,2.285,32
4,14,2013,0.005194,29,42,29,62.3,29,5.635,29,2.088,44
4,15,2013,0.002843,22,44,22,62.36,22,8.492,22,3.559,31
