month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.00833,47,99,47,161.5,47,21.35,47,14.54,64
1,1,2012,0.00661,59,98,59,162.1,59,21.67,59,14.74,93
1,2,2012,0.006147,58,96,58,161.4,58,21.45,58,14.5,86
1,3,2012,0.008339,48,98,48,160.2,48,21.72,48,14.57,69
1,4,2012,0.008522,40,98,40,159.6,40,21.63,40,14.85,55
1,5,2012,0.007431,38,99,38,160.6,38,21.45,38,14.5,73
1,6,2012,0.008303,44,97,44,158.4,44,21.46,44,14.56,70
1,7,2012,0.007495,46,97,46,161.3,46,21.68,46,14.54,72
1,8,2012,0.009298,59,98,59,161.3,59,21.54,59,14.56,84
1,9,2012,0.00794,46,98,46,156.1,46,20.97,46,14.66,68
1,10,2012,0.006562,47,99,47,159.7,47,21.4,47,14.84,68
1,11,2012,0.009001,42,97,42,160.6,42,21.24,42,13.33,66
1,12,2012,0.008706,46,98,46,160.6,46,21.56,46,14.3,70
1,13,2012,0.008015,51,99,51,162.4,51,21.28,51,14.26,90
1,14,2012,0.004625,56,97,56,162,56,21.07,56,11.3,96
1,15,2012,0.00854,52,101,52,162,52,20.9,52,11.3,80
1,16,2012,0.008392,65,100,65,157.2,65,20.97,65,13.24,100
1,17,2012,0.00925,60,99,60,161.7,60,20.92,60,9.142,96
1,18,2012,0.008873,71,98,71,145.7,71,20.66,71,10.77,102
1,19,2012,0.008875,62,97,62,148.3,62,17.89,62,10.28,100
1,20,2012,0.008496,64,98,64,160,64,20.6,64,10.94,100
1,21,2012,0.007944,58,97,58,159.8,58,21.54,58,11.3,93
1,22,2012,0.009031,57,94,57,157.2,57,21.22,57,10.9,97
1,23,2012,0.008807,49,99,49,160.4,49,21.97,49,14.16,73
2,0,2012,0.00921,33,98,33,150.8,33,21.62,33,13.77,60
2,1,2012,0.006856,35,97,35,161.5,35,21.88,35,14.99,61
2,2,2012,0.008696,32,98.5,32,162.4,32,21.75,32,14.17,56
2,3,2012,0.009337,35,99,35,160.2,35,21.73,35,14.49,55
2,4,2012,0.008692,43,98,43,158.8,43,21.73,43,14.52,67
2,5,2012,0.00723,40,97,40,161.7,40,21.98,40,14.77,59
2,6,2012,0.007137,26,98.5,26,161.8,26,21.66,26,14.35,53
2,7,2012,0.007656,43,102,43,162,43,20.93,43,14.43,72
2,8,2012,0.009664,42,97,42,160.3,42,21.78,42,11.69,67
2,9,2012,0.00575,44,97,45,161.8,45,21.34,45,14.53,71
2,10,2012,0.006532,44,97,44,159.1,44,21.85,44,14.51,75
2,11,2012,0.006506,39,98,39,153,39,21.69,39,14.55,58
2,12,2012,0.006078,29,97,29,161.1,29,21.07,29,14.61,50
2,13,2012,0.005806,48,101,48,155.5,48,21.05,48,14.25,80
2,14,2012,0.008699,43,98,43,157.1,43,21.06,43,14.62,73
2,15,2012,0.005244,58,100.5,58,158,58,15.48,58,5.69,84
2,16,2012,0.006184,70,100.5,70,156.7,70,18.55,70,11.17,104
2,17,2012,0.005954,44,98,44,152,44,17.33,44,11.86,74
2,18,2012,0.007401,59,101,59,152.5,59,13.21,59,3.974,95
2,19,2012,0.008901,44,99.5,44,147.7,44,15.8,44,5.092,75
2,20,2012,0.006123,60,97,60,160,60,18.28,60,14.25,86
2,21,2012,0.008894,49,100,49,161.9,49,20.95,49,7.064,82
2,22,2012,0.006499,46,101,46,162.4,46,20.94,46,13.77,70
2,23,2012,0.007249,43,95,43,162.9,43,21.05,43,9.097,60
3,0,2012,0.009367,44,97.5,44,160.8,44,21.22,44,14.47,75
3,1,2012,0.008387,50,96,50,161.7,50,21.53,50,14.12,82
3,2,2012,0.008783,46,98,46,158.2,46,21.46,46,14.68,68
3,3,2012,0.008869,50,98.5,50,161.5,50,21.57,50,14.79,72
3,4,2012,0.009002,46,98,46,160.7,46,21.91,46,14.73,66
3,5,2012,0.0085,41,97,41,161.9,41,22.31,41,14.75,65
3,6,2012,0.009572,42,98,42,161.4,42,21.77,42,14.59,58
3,7,2012,0.0082,42,100.5,42,162,42,21.54,42,14.71,68
3,8,2012,0.009271,40,97,40,161.1,40,22.07,40,14.66,60
3,9,2012,0.009135,48,99.5,48,157.9,48,21.65,48,14.4,79
3,10,2012,0.007588,38,101.5,38,162,38,21.5,38,14.55,58
3,11,2012,0.008534,47,98,47,161.8,47,21.72,47,14.43,77
3,12,2012,0.009151,55,101,55,159.2,55,21.39,55,14.34,86
3,13,2012,0.007999,64,96,64,150.9,64,21.08,64,12.65,97
3,14,2012,0.00871,41,97,41,161.9,41,21.22,41,14.42,67
3,15,2012,0.00854,43,99,43,147.4,43,21.15,43,5.449,79
3,16,2012,0.007007,48,98,48,157.8,48,21.53,48,14.7,68
3,17,2012,0.008585,53,98,53,155.3,53,18.6,53,4.58,91
3,18,2012,0.006631,55,97,55,161.4,55,18.82,55,11.99,87
3,19,2012,0.008496,45,100,45,151.1,45,19.82,45,7.114,81
3,20,2012,0.008837,56,98,56,158,56,19.37,56,14,107
3,21,2012,0.008537,47,99,47,161.1,47,21.12,47,5.5,95
3,22,2012,0.007146,58,98.5,58,158.2,58,21.27,58,11.67,97
3,23,2012,0.009105,56,98,56,159,56,21.47,56,14.68,77
4,0,2012,0.00911,47,97,47,154.4,47,20.68,47,14.2,68
4,1,2012,0.008809,45,97,45,161.9,45,21.43,45,14.4,74
4,2,2012,0.009779,45,98,45,158,45,21.78,45,14.57,72
4,3,2012,0.009795,45,97,45,154.4,45,22.01,45,14.77,63
4,4,2012,0.009837,45,99,45,152.7,45,21.66,45,14.71,70
4,5,2012,0.009467,35,100,35,161.6,35,21.42,35,14.86,59
4,6,2012,0.008435,46,98.5,46,157.3,46,21.39,46,14.4,64
4,7,2012,0.00864,56,98.5,56,162.1,56,21.42,56,14.35,89
4,8,2012,0.00903,59,99,59,157.6,59,21.4,59,14.19,84
4,9,2012,0.008651,45,99,45,161.7,45,20.74,45,5.439,91
4,10,2012,0.009289,40,98,40,155.3,40,21,40,13.88,69
4,11,2012,0.00933,67,99,67,154.8,67,18.47,67,11.41,108
4,12,2012,0.009379,65,102,65,161.9,65,18.23,65,4.717,100
4,13,2012,0.009749,49,98,49,152.2,49,21.1,49,14.39,77
4,14,2012,0.009606,39,99,39,160.8,39,21.24,39,4.277,79
4,15,2012,0.009573,46,101,46,161.8,46,21.36,46,13.72,72
4,16,2012,0.008451,64,104.5,64,162.5,64,13.63,64,10.22,91
4,17,2012,0.006632,49,97,49,159.9,49,20.97,49,14.51,71
4,18,2012,0.009638,56,101,56,157.5,56,19.08,56,9.477,91
4,19,2012,0.006558,49,96,49,149.4,49,21.32,49,5.787,79
4,20,2012,0.007981,76,96.5,76,147.2,76,14.68,76,3.046,126
4,21,2012,0.009816,64,97,64,154.1,64,21.07,64,12.47,106
4,22,2012,0.009524,50,97,50,154.4,50,19.82,50,9.404,89
4,23,2012,0.009559,45,99,45,155.2,45,20.93,45,14.33,77
5,0,2012,0.009663,29,97,29,155.2,29,21.54,29,13.94,58
5,1,2012,0.006642,27,96,27,145.9,27,21.53,27,14.46,45
5,2,2012,0.009672,37,96,37,154.6,37,21.37,37,14.89,44
5,3,2012,0.00961,25,98,25,155.6,25,21.64,25,14.6,39
5,4,2012,0.009864,33,96,33,152.5,33,21.69,33,14.58,51
5,5,2012,0.007241,32,97,32,160.4,32,21.66,32,14.68,55
5,6,2012,0.00825,40,95.5,40,158.9,40,21.78,40,14.39,60
5,7,2012,0.008286,40,98.5,40,163,40,21.3,40,14.52,58
5,8,2012,0.009735,57,99,57,162.9,57,18.03,57,3.051,79
5,9,2012,0.009577,53,101,53,162.1,53,18.09,53,3.048,84
5,10,2012,0.01015,34,100,34,160.6,34,20.7,34,12.57,61
5,11,2012,0.009502,39,98,39,161.7,39,21.2,39,9.613,69
5,12,2012,0.008189,36,98.5,36,161,36,20.72,36,6.879,61
5,13,2012,0.00672,49,97,49,156.2,49,21.33,49,14.32,77
5,14,2012,0.01,38,99,38,162.1,38,18.31,38,10.65,65
5,15,2012,0.008065,57,98,57,158.5,57,17.52,57,3.13,97
5,16,2012,0.007982,47,100,47,162.1,47,18.24,47,1.565,94
5,17,2012,0.008649,59,103,59,165.1,59,11.95,59,1.883,101
5,18,2012,0.009144,44,103,44,160.9,44,18.31,44,5.214,82
5,19,2012,0.007577,52,99,52,163.4,52,15.83,52,4.131,95
5,20,2012,0.009251,49,97,49,157.3,49,17.52,49,3.25,94
5,21,2012,0.006622,57,97,57,153.2,57,19.75,57,2.847,104
5,22,2012,0.009367,46,98,46,155.9,46,18.77,46,3.429,90
5,23,2012,0.009336,50,94.5,50,156.1,50,20.96,50,11.83,85
6,0,2012,0.006916,11,95,11,161.5,11,21.33,11,14.13,26
6,1,2012,0.009543,11,97,11,158.9,11,21.96,11,14.64,21
6,2,2012,0.009346,14,98,14,162.3,14,21.21,14,14.16,24
6,3,2012,0.006618,16,91.5,16,161.7,16,21.65,16,15.03,22
6,4,2012,0.01015,24,89.5,24,156.8,24,21.61,24,14.56,29
6,5,2012,0.00864,15,96,15,161.4,15,22.03,15,14.74,23
6,6,2012,0.006599,16,95,16,162,16,21.55,16,15.01,27
6,7,2012,0.008649,11,100,11,163,11,20.92,11,5.879,28
6,8,2012,0.00947,23,100,23,161.9,23,18.92,23,2.9,31
6,9,2012,0.01012,10,99,10,147.5,10,21.4,10,14.14,19
6,10,2012,0.01,18,98,18,157.8,18,21.61,18,14.47,32
6,11,2012,0.009909,21,99,21,157.5,21,21.65,21,1.053,34
6,12,2012,0.009643,27,100,27,161.9,27,21.44,27,13.62,37
6,13,2012,0.009951,16,89.5,16,153.6,16,22.19,16,13.91,31
6,14,2012,0.006939,19,97,19,161.4,19,20.96,19,12.95,30
6,15,2012,0.009456,25,97,25,158.3,25,21.64,25,13.29,41
6,16,2012,0.008974,18,82,18,158.4,18,21.64,18,14.52,30
6,17,2012,0.008779,22,97.5,22,158,22,21.38,22,12.77,36
6,18,2012,0.007317,19,67,19,147.9,19,6.201,19,0.6174,40
6,19,2012,0.007382,25,100,25,162.5,25,11.06,25,4.585,38
6,20,2012,0.00859,24,102.5,24,161.6,24,19.54,24,3.082,32
6,21,2012,0.007038,15,100,15,148.4,15,7.185,15,4.706,25
6,22,2012,0.008253,18,100,18,161.6,18,21.2,18,5.045,31
6,23,2012,0.006311,19,98,19,161.4,19,21.41,19,9.438,32
7,0,2012,0.008372,47,97,47,156.4,47,21.7,47,14.48,74
7,1,2012,0.007886,38,95,38,161.1,38,21.64,38,14.43,60
7,2,2012,0.008519,44,97,44,146,44,21.52,44,14.45,64
7,3,2012,0.009781,30,96,30,160,30,21.06,30,14.44,57
7,4,2012,0.009666,47,97,47,159.7,47,21.44,47,15,65
7,5,2012,0.007518,40,97,40,161,40,21.26,40,14.1,66
7,6,2012,0.009656,50,99,50,153.7,50,21.43,50,9.888,80
7,7,2012,0.009906,43,99,43,154.6,43,21.08,43,2.93,85
7,8,2012,0.009464,62,99,62,154.9,62,20.23,62,4.628,97
7,9,2012,0.00919,49,98,49,162.4,49,21.01,49,11.65,84
7,10,2012,0.008632,47,99,47,161.3,47,20.82,47,7.766,84
7,11,2012,0.00963,66,98,66,161.7,66,18.54,66,4.206,120
7,12,2012,0.006993,50,99.5,50,164,50,20.56,50,1.165,98
7,13,2012,0.007416,46,96,46,157.6,46,21.33,46,6.574,89
7,14,2012,0.009259,59,96,59,152,59,20.82,59,7.969,97
7,15,2012,0.009253,53,98,53,158.7,53,21.31,53,7.434,94
7,16,2012,0.009665,49,100,49,159.5,49,20.39,49,1.568,94
7,17,2012,0.009517,52,97.5,52,162,52,16.25,52,4.026,86
7,18,2012,0.00826,73,97,73,161.2,73,12.2,73,2.75,120
7,19,2012,0.007005,79,98,79,147.4,79,6.035,79,2.81,129
7,20,2012,0.01009,57,97,57,150.4,57,11.16,57,2.69,98
7,21,2012,0.007437,67,72,67,138.7,67,16.3,67,4.122,111
7,22,2012,0.009349,52,98,52,154,52,20.53,52,2.926,111
7,23,2012,0.008901,47,98,47,162.6,47,21.24,47,11.44,95
8,0,2012,0.009537,42,98,42,151,42,21.17,42,13.68,73
8,1,2012,0.008507,46,97,46,156.5,46,20.24,46,13.58,81
8,2,2012,0.007052,28,95.5,28,161.8,28,21.15,28,14.65,45
8,3,2012,0.009698,41,100,41,160.8,41,21.09,41,14.05,64
8,4,2012,0.009381,40,97,40,148.1,40,20.72,40,14.38,59
8,5,2012,0.009629,29,98,29,156.2,29,21.14,29,14.55,45
8,6,2012,0.00954,53,99,53,157.4,53,20.36,53,4.145,88
8,7,2012,0.01189,46,102,46,160.3,46,16.55,46,1.01,81
8,8,2012,0.009099,44,100,44,159.2,44,21.26,44,13.56,73
8,9,2012,0.009622,45,96,45,161.2,45,19.07,45,1.76,72
8,10,2012,0.009193,64,99,64,159.8,64,21.24,64,14.26,85
8,11,2012,0.01054,65,103,65,161.7,65,13.77,65,0.9299,97
8,12,2012,0.01015,55,102,55,158.7,55,16.57,55,0.9283,113
8,13,2012,0.009515,42,102,42,162.2,42,21.52,42,13.71,65
8,14,2012,0.009811,49,97,50,158.2,50,20.88,50,5.962,85
8,15,2012,0.009968,58,100,58,156,58,18.5,58,9.189,96
8,16,2012,0.009312,46,98,46,162,46,20.19,46,3.607,82
8,17,2012,0.00913,62,100,62,161.3,62,16.33,62,1.804,107
8,18,2012,0.009121,56,99.5,56,158.1,56,10.94,56,0.6458,88
8,19,2012,0.009792,69,100,69,128.9,69,3.012,69,2.425,100
8,20,2012,0.008832,65,97,65,135.1,65,10.54,65,4.434,94
8,21,2012,0.009589,57,96,57,160,57,10.94,57,0.8236,103
8,22,2012,0.009201,40,98,40,160.5,40,19.7,40,8.28,91
8,23,2012,0.008533,54,96.5,54,162.4,54,18.94,54,10.74,91
9,0,2012,0.008068,18,97.5,18,148.3,18,21.33,18,14.66,36
9,1,2012,0.008882,40,98,40,155.6,40,21.27,40,14.93,60
9,2,2012,0.009654,28,97.5,28,159.9,28,21.18,28,14.36,50
9,3,2012,0.004688,24,96,24,161.2,24,21.37,24,15.11,40
9,4,2012,0.009223,34,98,34,152.9,34,21.71,34,14.51,43
9,5,2012,0.009442,36,98,36,155.7,36,21.24,36,13.84,56
9,6,2012,0.009915,45,102,45,161.3,45,18.18,45,1.003,69
9,7,2012,0.009596,28,98.5,28,153.1,28,21.53,28,6.519,57
9,8,2012,0.01278,28,100,28,146.7,28,18.21,28,1.284,52
9,9,2012,0.009471,34,99.5,34,157,34,21.38,34,13.81,60
9,10,2012,0.009273,34,99,34,154.4,34,21.18,34,2.363,65
9,11,2012,0.01068,34,99.5,34,160.5,34,18.55,34,2.87,68
9,12,2012,0.008973,36,96,36,151.6,36,19.93,36,2.018,58
9,13,2012,0.008922,43,98,43,162.3,43,20.63,43,13.36,61
9,14,2012,0.009468,38,97,38,158.8,38,15.05,38,2.69,63
9,15,2012,0.01044,43,99,43,163.1,43,8.573,43,0.6045,81
9,16,2012,0.007609,58,98,58,143.1,58,12.64,58,8.493,87
9,17,2012,0.008274,39,100,39,161.8,39,3.945,39,3.996,60
9,18,2012,0.006178,51,103,51,145.2,51,2.879,51,3.565,63
9,19,2012,0.004466,44,100,44,118.9,44,3.471,44,6.43,62
9,20,2012,0.005188,38,100.5,38,122.9,38,4.152,38,10.64,53
9,21,2012,0.008089,45,97,45,155.7,45,15.36,45,5.205,63
9,22,2012,0.009928,34,100,34,161.5,34,19.82,34,2.63,58
9,23,2012,0.007988,38,95,38,161.3,38,20.29,38,14.91,48
10,0,2012,0.008584,40,96,40,161.2,40,20.84,40,5.618,76
10,1,2012,0.00939,46,98.5,46,161.6,46,21.3,46,13.87,64
10,2,2012,0.009334,32,98.5,32,158.6,32,21.3,32,14.45,47
10,3,2012,0.009597,33,97,33,154.5,33,20.1,33,13.91,55
