month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.0011,77,21.0,77,33.32,77,10.491,77,3.2436,105
1,1,2012,0.000576,56,20.0,56,33.04,56,16.102,56,3.2395,73
1,2,2012,0.00083,46,22.0,46,40.32,46,12.32,46,2.3018,63
1,3,2012,0.001263,26,20.0,26,31.37,26,18.494,26,3.2311,36
1,4,2012,0.001158,18,23.0,18,35.69,18,15.16,18,3.206,36
1,5,2012,0.001401,29,21.0,29,41.4,29,18.171,29,3.2105,45
1,6,2012,0.000308,19,19.0,19,29.65,19,21.319,19,2.3789,31
1,7,2012,0.000781,33,22.0,33,36.32,33,16.214,33,2.6619,50
1,8,2012,0.000534,34,20.5,34,33.24,34,13.105,34,3.2282,48
1,9,2012,0.002014,57,20.0,57,34.53,57,8.893,57,2.9974,71
1,10,2012,0.001042,55,20.0,55,32.88,55,10.408,55,3.1645,65
1,11,2012,0.000902,79,22.0,79,33.93,79,10.799,79,3.2073,96
1,12,2012,0.001751,62,21.5,62,40.1,62,8.486,62,3.2463,97
1,13,2012,0.001678,62,21.0,62,36.13,62,8.838,62,2.4676,88
1,14,2012,0.001272,87,20.0,87,35.07,87,7.848,87,2.9274,102
1,15,2012,0.001984,97,20.0,97,33.34,97,7.657,97,3.1654,116
1,16,2012,0.001927,77,21.0,77,33.73,77,7.24,77,3.0542,95
1,17,2012,0.001585,96,21.0,96,36.68,96,6.942,96,3.2085,107
1,18,2012,0.002224,112,22.0,112,39.57,112,6.13,112,3.2363,127
1,19,2012,0.00233,153,23.0,153,44.02,153,4.908,153,3.243,169
1,20,2012,0.003091,145,22.0,145,41.04,145,4.512,145,3.2074,154
1,21,2012,0.00305,130,22.0,130,41.15,130,4.855,130,2.8834,151
1,22,2012,0.002055,118,22.0,118,39.7,118,6.348,118,2.8621,143
1,23,2012,0.002092,79,22.0,79,39.67,79,8.028,79,3.0447,93
2,0,2012,0.000681,48,21.5,48,39.76,48,15.147,48,3.4038,67
2,1,2012,0.000828,42,19.0,42,36.83,42,17.042,42,2.9802,60
2,2,2012,0.000846,36,21.0,36,37.71,36,16.082,36,3.2395,56
2,3,2012,0.000732,30,20.5,30,36.01,30,15.461,30,3.2098,47
2,4,2012,0.000997,11,19.0,11,34.89,11,20.538,11,2.6752,24
2,5,2012,0.000944,30,22.0,31,42.68,31,15.1,31,2.6475,52
2,6,2012,0.000743,37,20.0,37,37.86,37,20.511,37,2.7693,60
2,7,2012,0.000796,16,18.5,16,33.89,16,18.445,16,1.9829,30
2,8,2012,0.000939,51,21.0,51,37.8,51,12.562,51,3.1931,68
2,9,2012,0.001124,46,21.0,46,34.47,46,12.527,46,3.2603,64
2,10,2012,0.000822,46,22.5,46,37.92,46,10.257,46,2.8811,63
2,11,2012,0.001074,61,21.0,61,33.94,61,12.225,61,3.2407,76
2,12,2012,0.001031,90,20.0,91,34.89,91,10.733,91,3.0828,117
2,13,2012,0.000917,73,20.0,73,34.52,73,11.126,73,3.4058,96
2,14,2012,0.001116,84,21.0,84,40.18,84,8.381,84,3.2448,92
2,15,2012,0.001795,73,22.0,73,39.34,73,7.013,73,3.0133,94
2,16,2012,0.002177,99,21.0,99,34.97,99,6.775,99,3.2438,115
2,17,2012,0.001915,122,21.0,122,37.8,122,6.245,122,3.2122,152
2,18,2012,0.002518,107,21.0,107,37.02,107,5.825,107,2.8193,132
2,19,2012,0.002833,124,22.5,124,40.91,124,4.485,124,2.9677,152
2,20,2012,0.003114,152,22.0,152,39.55,152,4.983,152,2.9073,178
2,21,2012,0.003321,115,21.0,115,34.79,115,5.805,115,3.0888,133
2,22,2012,0.002107,101,22.0,101,38.68,101,6.336,101,2.8456,132
2,23,2012,0.000946,76,21.0,76,38.38,76,9.374,76,2.869,98
3,0,2012,0.000926,50,21.5,50,41.69,50,10.961,50,2.9709,78
3,1,2012,0.001434,41,21.0,42,49.51,42,7.663,42,2.2477,75
3,2,2012,0.000456,19,20.0,19,53.09,19,10.376,19,2.7847,42
3,3,2012,0.000672,22,21.5,24,52.07,24,13.902,24,2.4726,52
3,4,2012,0.001022,13,22.0,14,57.3,14,14.051,14,2.8941,38
3,5,2012,0.001851,14,20.5,14,43.35,14,10.676,14,3.2066,26
3,6,2012,0.001563,25,23.0,25,43.62,25,10.739,25,2.9207,53
3,7,2012,0.001175,26,24.0,27,53.04,27,10.634,27,3.2392,35
3,8,2012,0.001149,34,20.5,34,45.39,34,9.328,34,3.0325,49
3,9,2012,0.000572,45,22.0,45,44.17,45,12.149,45,2.1774,77
3,10,2012,0.000954,41,23.0,41,37.55,41,9.82,41,3.3887,69
3,11,2012,0.000774,48,21.5,48,42.33,48,9.228,48,2.6643,90
3,12,2012,0.00121,70,23.0,70,43.3,70,7.112,70,2.8499,95
3,13,2012,0.000841,51,21.0,51,40.89,51,9.656,51,2.8232,69
3,14,2012,0.001315,73,21.0,73,41.78,73,7.838,73,2.9255,109
3,15,2012,0.001595,75,22.0,76,43.84,76,6.597,76,2.6566,112
3,16,2012,0.002184,83,22.0,85,44.31,85,5.31,85,3.1218,119
3,17,2012,0.002544,93,21.0,94,38.87,94,5.258,94,3.204,107
3,18,2012,0.002208,71,22.0,71,46.64,71,5.443,71,3.2,99
3,19,2012,0.003351,91,22.0,91,41.51,91,5.034,91,2.7046,116
3,20,2012,0.003166,129,22.0,129,41.36,129,4.334,129,2.9579,158
3,21,2012,0.002788,103,22.0,103,43.77,103,4.513,103,2.3972,142
3,22,2012,0.002403,93,22.0,93,44.46,93,5.194,93,2.9439,131
3,23,2012,0.001869,77,22.0,77,49.06,77,5.567,77,2.2139,114
4,0,2012,0.001272,58,20.5,58,36.66,58,9.561,58,3.0289,82
4,1,2012,0.001022,42,21.0,42,34.66,42,11.313,42,3.1689,49
4,2,2012,0.001036,34,18.5,34,35.64,34,15.236,34,2.4683,42
4,3,2012,0.000642,21,19.0,21,32.32,21,17.221,21,3.3268,31
4,4,2012,0.001499,22,20.0,22,34.69,22,15.695,22,3.6339,27
4,5,2012,0.000819,19,24.0,19,42.25,19,16.9,19,3.3653,24
4,6,2012,0.001322,15,19.0,15,37.31,15,16.225,15,3.5336,35
4,7,2012,0.000788,21,19.0,21,31.25,21,14.041,21,2.5044,26
4,8,2012,0.000799,38,21.0,38,35.99,38,12.249,38,3.4412,53
4,9,2012,0.001496,66,20.5,66,34.96,66,9.412,66,2.9655,84
4,10,2012,0.001543,40,19.5,40,33.18,40,11.99,40,3.5297,51
4,11,2012,0.001568,79,20.0,79,37.47,79,8.507,79,3.5467,94
4,12,2012,0.00142,64,21.0,64,43.71,64,8.701,64,3.4044,77
4,13,2012,0.002672,62,21.0,62,36.45,62,6.647,62,3.2994,73
4,14,2012,0.001969,65,21.0,65,35.44,65,8.183,65,3.0481,87
4,15,2012,0.002444,69,21.0,69,35.4,69,6.301,69,3.5226,82
4,16,2012,0.003528,86,20.0,86,34.42,86,5.947,86,3.3675,97
4,17,2012,0.003014,92,21.0,92,36.35,92,5.44,92,3.5667,112
4,18,2012,0.002935,108,21.0,108,36.75,108,5.961,108,3.5658,128
4,19,2012,0.003854,113,22.0,113,41.98,113,4.507,113,3.5607,127
4,20,2012,0.004774,119,23.0,119,40.85,119,3.917,119,3.4004,129
4,21,2012,0.004143,128,22.0,128,41.69,128,4.206,128,3.363,141
4,22,2012,0.003588,113,21.0,113,39.98,113,4.998,113,3.2293,122
4,23,2012,0.002302,109,21.0,109,40.0,109,6.501,109,3.1643,129
5,0,2012,0.001175,68,21.0,68,42.67,68,10.279,68,3.4499,90
5,1,2012,0.001006,55,21.0,56,43.22,56,11.311,56,3.4954,70
5,2,2012,0.001481,36,22.0,36,45.26,36,16.471,36,3.6211,40
5,3,2012,0.001082,24,19.0,24,40.45,24,16.188,24,3.308,36
5,4,2012,0.001289,15,21.0,15,40.31,15,12.223,15,3.5833,26
5,5,2012,0.001791,19,22.0,19,38.18,19,9.634,19,3.2051,39
5,6,2012,0.001568,38,22.0,38,47.07,38,13.93,38,3.2038,44
5,7,2012,0.001182,42,20.0,42,36.87,42,15.644,42,3.1243,58
5,8,2012,0.001397,41,22.0,41,40.36,41,12.728,41,3.6016,50
5,9,2012,0.001012,45,20.0,45,35.59,45,8.994,45,2.9251,56
5,10,2012,0.001284,73,21.0,73,42.38,73,10.632,73,3.2937,87
5,11,2012,0.001623,87,22.0,87,40.99,87,7.641,87,3.0263,98
5,12,2012,0.001601,87,21.0,87,38.17,87,9.447,87,3.6013,102
5,13,2012,0.001712,75,22.0,75,38.32,75,9.496,75,3.5956,95
5,14,2012,0.001807,85,22.0,85,45.15,85,8.107,85,3.2427,103
5,15,2012,0.002307,101,21.0,101,37.85,101,6.284,101,3.0471,114
5,16,2012,0.002794,118,20.0,118,35.06,118,6.887,118,3.5684,138
5,17,2012,0.002608,126,23.0,127,40.95,127,5.429,127,3.4506,156
5,18,2012,0.003105,126,22.0,126,35.24,126,5.685,126,3.5324,149
5,19,2012,0.002609,141,22.0,141,37.88,141,6.035,141,3.4045,157
5,20,2012,0.003066,142,21.0,142,38.66,142,5.639,142,3.3183,167
5,21,2012,0.003491,136,21.0,136,37.9,136,4.488,136,3.5865,150
5,22,2012,0.002696,128,21.0,128,40.11,128,5.316,128,2.8786,143
5,23,2012,0.001793,104,22.0,104,39.23,104,7.318,104,3.4279,126
6,0,2012,0.002089,95,23.0,95,46.12,95,6.38,95,2.9256,109
6,1,2012,0.00166,44,22.0,44,39.36,44,8.618,44,3.3669,58
6,2,2012,0.00202,44,21.0,44,45.91,44,10.629,44,2.7296,59
6,3,2012,0.001341,47,20.0,47,44.39,47,11.484,47,3.0864,62
6,4,2012,0.001126,29,22.0,29,43.05,29,11.393,29,3.2078,43
6,5,2012,0.001408,17,21.0,17,34.87,17,16.388,17,3.5409,25
6,6,2012,0.001947,29,23.0,29,41.32,29,11.907,29,2.8266,40
6,7,2012,0.001,44,20.5,44,42.31,44,12.65,44,3.4741,50
6,8,2012,0.001147,39,20.0,39,38.66,39,13.124,39,3.6264,44
6,9,2012,0.000947,71,20.0,71,35.47,71,10.137,71,3.4106,81
6,10,2012,0.002342,71,21.0,71,34.81,71,8.464,71,3.608,79
6,11,2012,0.002428,79,21.0,79,37.45,79,6.733,79,3.2114,93
6,12,2012,0.002487,61,22.0,61,45.52,61,6.475,61,3.3869,76
6,13,2012,0.002296,76,22.0,76,38.87,76,6.277,76,3.6049,84
6,14,2012,0.002824,63,22.0,63,36.07,63,7.119,63,3.2865,88
6,15,2012,0.003305,75,22.0,75,41.58,75,5.355,75,3.5712,87
6,16,2012,0.003056,82,21.0,82,36.99,82,5.632,82,3.4888,92
6,17,2012,0.003063,99,22.0,99,45.08,99,4.581,99,2.4481,121
6,18,2012,0.003602,104,21.0,104,38.82,104,4.889,104,3.1097,120
6,19,2012,0.002946,139,21.0,139,36.33,139,5.525,139,3.606,157
6,20,2012,0.003453,108,22.0,108,39.91,108,4.857,108,3.5261,127
6,21,2012,0.003615,139,21.0,139,39.92,139,4.766,139,3.4908,151
6,22,2012,0.003777,114,22.0,114,41.29,114,4.249,114,3.3866,134
6,23,2012,0.003604,95,23.0,95,41.8,95,4.842,95,2.9869,110
7,0,2012,0.003866,83,22.0,83,42.88,83,3.862,83,3.1901,92
7,1,2012,0.001265,67,21.0,67,35.75,67,8.097,67,3.5618,79
7,2,2012,0.001818,45,22.0,45,38.99,45,7.157,45,2.5669,59
7,3,2012,0.00153,35,22.0,35,49.8,35,9.053,35,3.3304,43
7,4,2012,0.001004,31,22.0,31,47.01,31,14.432,31,3.6046,37
7,5,2012,0.001609,31,20.0,31,36.32,31,16.42,31,3.0661,44
7,6,2012,0.000685,21,23.0,21,62.37,21,17.525,21,3.6062,26
7,7,2012,0.001062,41,20.0,41,35.07,41,14.372,41,3.0712,48
7,8,2012,0.001,64,20.5,64,36.44,64,9.805,64,3.4055,72
7,9,2012,0.002023,54,21.0,54,36.31,54,7.695,54,3.5694,59
7,10,2012,0.002343,81,20.0,81,33.1,81,7.254,81,3.6041,87
7,11,2012,0.003653,81,22.0,81,39.29,81,4.869,81,2.4079,89
7,12,2012,0.003519,84,21.0,84,33.28,84,5.524,84,3.6036,95
7,13,2012,0.004964,91,22.0,90,37.12,91,4.07,91,3.4052,97
7,14,2012,0.005623,90,21.0,90,34.62,90,4.296,90,3.412,103
7,15,2012,0.005572,104,22.0,104,39.44,104,3.468,104,3.3295,115
7,16,2012,0.005873,113,21.0,113,32.55,113,4.058,113,3.5065,122
7,17,2012,0.005525,126,21.0,126,35.21,126,4.381,126,3.6079,139
7,18,2012,0.005806,139,22.0,139,37.52,139,3.889,139,3.4831,149
7,19,2012,0.005531,119,21.0,119,37.02,119,4.269,119,3.3927,132
7,20,2012,0.00831,121,21.0,121,36.93,121,3.376,121,3.1843,135
7,21,2012,0.008708,129,22.0,129,36.98,129,3.094,129,3.4089,140
7,22,2012,0.01097,116,22.0,116,40.18,116,3.059,116,3.5337,128
7,23,2012,0.006358,113,22.0,113,42.26,113,3.057,113,3.3483,128
8,0,2012,0.00298,203,20.0,203,37.66,203,5.22,203,3.0426,231
8,1,2012,0.001525,204,21.0,204,35.86,204,8.622,204,3.375,243
8,2,2012,0.001089,129,21.0,129,38.23,129,10.532,129,3.6026,155
8,3,2012,0.00127,98,20.0,98,38.18,98,13.364,98,3.6103,112
8,4,2012,0.000608,66,20.5,66,35.47,66,17.443,66,3.6087,98
8,5,2012,0.000895,70,19.5,70,33.97,70,14.485,70,3.4307,94
8,6,2012,0.001161,73,22.0,73,42.77,73,12.67,73,3.3448,94
8,7,2012,0.000902,100,20.5,100,36.52,100,11.272,100,2.5685,125
8,8,2012,0.001231,128,20.0,128,32.85,128,10.069,128,3.5298,155
8,9,2012,0.001827,191,21.0,191,33.25,191,7.07,191,3.5986,227
8,10,2012,0.002753,184,21.0,184,35.94,184,5.969,184,3.4124,218
8,11,2012,0.003472,217,21.0,217,36.51,217,5.52,217,3.5225,245
8,12,2012,0.003854,224,21.0,224,35.55,224,4.8,224,3.5832,249
8,13,2012,0.004088,240,21.0,240,35.12,240,4.497,240,3.5601,256
8,14,2012,0.004234,268,21.0,268,34.86,268,4.775,268,3.6046,297
8,15,2012,0.005347,285,21.0,285,36.88,285,3.791,285,3.4899,315
8,16,2012,0.006128,339,22.0,339,37.39,339,3.72,339,3.4467,368
8,17,2012,0.005966,331,21.0,331,35.72,331,3.735,331,3.5686,372
8,18,2012,0.006141,345,22.0,345,38.63,345,3.653,345,3.4523,377
8,19,2012,0.006216,404,22.0,404,38.03,404,3.521,404,3.3561,451
8,20,2012,0.008403,381,22.0,381,38.1,381,3.187,381,3.4543,421
8,21,2012,0.009537,409,22.0,409,39.66,409,2.796,409,3.5766,444
8,22,2012,0.007837,336,22.0,336,37.39,336,3.474,336,3.5545,370
8,23,2012,0.004778,304,21.5,304,36.02,304,4.191,304,3.5775,335
9,0,2012,0.002181,185,21.0,185,47.48,185,9.418,185,3.4508,253
9,1,2012,0.001672,140,21.0,140,40.1,140,12.114,140,3.6067,200
9,2,2012,0.001072,114,21.0,114,40.55,114,14.031,114,3.601,171
9,3,2012,0.001114,100,21.5,100,43.49,100,15.685,100,3.6004,161
9,4,2012,0.001183,64,22.0,64,51.49,64,13.4,64,3.4087,119
9,5,2012,0.000804,91,20.0,91,38.01,91,17.541,91,3.3277,153
9,6,2012,0.001368,81,22.0,81,46.07,81,13.312,81,3.3333,147
9,7,2012,0.001259,114,23.0,115,47.69,115,13.826,115,3.5726,171
9,8,2012,0.001159,116,21.0,116,42.19,116,13.067,116,3.3208,181
9,9,2012,0.00148,118,20.0,118,42.67,118,14.144,118,3.6101,179
9,10,2012,0.001457,152,21.0,152,48.63,152,12.457,152,3.5323,230
9,11,2012,0.001907,215,21.0,215,49.75,215,11.37,215,3.6021,267
9,12,2012,0.001338,208,22.0,208,49.17,208,11.945,208,3.4512,277
9,13,2012,0.001988,209,23.0,209,55.08,209,9.69,209,2.8324,312
9,14,2012,0.001719,195,23.0,195,48.58,195,9.601,195,3.5633,318
9,15,2012,0.002049,216,22.0,216,45.34,216,11.652,216,3.5508,322
9,16,2012,0.001828,308,22.0,308,47.1,308,9.743,308,3.5264,443
9,17,2012,0.001769,289,22.0,289,49.55,289,9.55,290,3.4503,395
9,18,2012,0.002265,304,22.0,304,47.75,304,9.803,304,3.5049,424
9,19,2012,0.002341,329,23.0,329,52.43,329,7.308,329,3.3631,432
9,20,2012,0.002126,312,22.5,312,51.26,312,7.432,312,3.4909,438
9,21,2012,0.002464,365,23.0,365,48.74,365,7.174,365,3.5688,460
9,22,2012,0.002265,297,23.0,297,47.35,297,6.834,297,3.047,412
9,23,2012,0.001845,268,21.0,268,48.5,268,9.645,268,3.5245,324
10,0,2012,0.001772,168,23.0,168,57.48,168,11.353,168,3.6054,262
10,1,2012,0.002064,124,22.0,124,48.72,124,12.839,124,3.5662,202
10,2,2012,0.002336,101,22.0,101,45.35,101,13.277,101,3.4067,176
10,3,2012,0.001409,81,20.0,81,39.35,81,16.174,81,3.6009,115
10,4,2012,0.001287,45,21.0,45,37.59,45,16.528,45,3.5702,87
10,5,2012,0.00123,96,22.5,96,37.9,96,15.265,96,3.5736,128
10,6,2012,0.001358,80,22.0,80,43.82,80,14.385,80,3.5465,130
10,7,2012,0.000991,100,22.0,100,43.68,100,14.974,100,3.604,177
10,8,2012,0.00173,134,22.5,134,46.17,134,13.846,134,3.6115,205
10,9,2012,0.002653,132,22.0,132,58.64,132,7.555,132,3.3456,216
10,10,2012,0.001387,189,22.0,189,48.06,189,11.326,189,3.5991,290
10,11,2012,0.001579,168,21.0,167,48.26,168,12.412,169,3.6085,270
10,12,2012,0.001748,169,22.0,169,44.11,169,12.904,169,3.5321,275
10,13,2012,0.001602,164,21.0,164,47.85,164,12.51,164,3.5672,259
10,14,2012,0.001587,200,22.0,200,46.93,200,12.219,200,3.6025,323
10,15,2012,0.001812,244,22.0,244,51.68,244,14.134,244,3.6076,361
10,16,2012,0.001843,211,22.0,211,48.91,211,12.091,211,3.6121,344
10,17,2012,0.001664,239,22.0,239,52.78,239,12.065,239,3.569,374
10,18,2012,0.00161,241,22.0,241,54.45,241,11.336,241,3.6086,383
10,19,2012,0.001679,264,23.0,264,58.86,264,10.05,264,3.574,419
10,20,2012,0.001659,308,24.0,308,58.43,308,9.283,308,3.5675,469
10,21,2012,0.002068,328,24.0,328,58.82,328,9.945,328,3.5691,511
10,22,2012,0.001877,257,24.0,257,60.44,257,9.588,257,3.5571,417
10,23,2012,0.002105,209,23.0,209,59.47,209,10.387,209,3.6009,338
11,0,2012,0.001734,143,22.0,143,46.62,143,13.327,143,3.5311,247
11,1,2012,0.001451,121,22.0,121,45.0,121,15.026,121,3.4688,188
11,2,2012,0.001567,49,23.0,49,46.98,49,13.347,49,3.2907,109
11,3,2012,0.001651,68,23.0,69,58.26,69,10.383,69,3.5711,104
11,4,2012,0.001132,44,21.0,44,41.78,44,15.492,44,3.6099,82
11,5,2012,0.002006,54,20.5,54,41.2,54,13.734,54,2.8943,113
11,6,2012,0.001578,69,24.0,69,46.51,69,11.882,69,2.2902,140
11,7,2012,0.001523,105,23.0,105,54.35,105,16.328,105,3.5664,182
11,8,2012,0.001235,122,22.0,122,45.25,122,14.714,122,3.5961,202
11,9,2012,0.00133,138,21.0,138,49.07,138,14.87,138,3.6075,231
11,10,2012,0.001234,148,22.0,148,45.45,148,14.368,148,3.6341,259
11,11,2012,0.001388,175,23.0,175,48.17,175,11.212,175,3.5747,285
11,12,2012,0.001759,200,23.0,200,48.01,200,10.803,200,3.5753,304
11,13,2012,0.001877,193,22.0,193,47.92,193,8.542,193,3.4807,296
11,14,2012,0.001564,235,22.0,235,47.08,235,11.155,235,3.5989,356
11,15,2012,0.001573,219,22.0,219,49.19,219,11.438,219,3.5951,333
11,16,2012,0.001769,226,23.0,226,50.19,226,9.638,226,3.5766,335
11,17,2012,0.001789,241,23.0,241,54.27,241,9.334,241,3.5697,335
11,18,2012,0.002145,278,24.0,278,56.04,278,10.077,278,3.6038,398
11,19,2012,0.001692,306,24.0,306,53.22,306,9.18,306,3.5457,418
11,20,2012,0.00231,327,24.0,327,60.61,327,7.617,327,3.5648,468
11,21,2012,0.002132,286,24.0,286,54.0,286,9.872,286,3.5697,406
11,22,2012,0.001952,247,22.0,247,52.38,247,10.785,247,3.6055,383
11,23,2012,0.001639,179,21.0,179,45.92,179,11.353,179,3.5976,297
12,0,2012,0.0018,167,22.0,167,49.18,167,14.072,167,3.6147,261
12,1,2012,0.001364,122,24.0,122,60.03,122,11.882,122,3.2141,197
12,2,2012,0.001814,89,24.0,89,54.2,89,14.845,89,3.5017,140
12,3,2012,0.002191,65,24.0,65,62.46,65,10.639,65,3.0078,127
12,4,2012,0.00101,60,21.5,60,42.51,60,16.327,60,3.6118,104
12,5,2012,0.001754,63,25.0,63,53.09,63,9.331,63,3.5123,108
12,6,2012,0.001422,73,22.0,73,41.52,73,14.747,73,3.6099,128
12,7,2012,0.001441,90,22.0,90,45.97,90,15.149,90,3.6149,162
12,8,2012,0.00148,96,22.0,96,47.75,96,13.017,96,3.576,168
12,9,2012,0.001307,134,22.0,134,47.2,134,15.45,134,3.6126,246
12,10,2012,0.00167,152,22.5,152,48.96,152,15.314,152,3.6137,241
12,11,2012,0.001576,193,22.0,193,45.85,193,13.473,193,3.6113,279
12,12,2012,0.002347,175,24.0,175,57.99,175,11.172,175,3.6085,284
12,13,2012,0.001825,201,23.0,201,49.51,201,11.667,201,3.614,297
12,14,2012,0.001834,169,23.0,169,50.73,169,13.009,169,3.6088,253
12,15,2012,0.001582,232,22.0,232,51.02,232,12.056,232,3.6111,316
12,16,2012,0.001662,238,23.0,238,55.47,238,11.261,238,3.608,342
12,17,2012,0.001805,255,24.0,255,48.37,255,11.663,255,3.6078,344
12,18,2012,0.001603,269,25.0,269,54.29,269,10.696,269,3.6097,359
12,19,2012,0.001461,300,24.0,300,52.99,300,9.338,300,3.6077,383
12,20,2012,0.001956,299,26.0,299,57.38,299,8.698,299,3.5698,414
12,21,2012,0.002869,306,26.0,306,57.57,306,7.711,306,3.5237,451
12,22,2012,0.002414,279,26.0,279,56.32,279,9.1,279,3.6062,384
12,23,2012,0.002459,191,24.0,191,51.91,191,11.608,191,3.5662,297
1,0,2013,0.001648,151,22.0,151,50.51,151,11.199,151,3.5956,246
1,1,2013,0.001744,102,22.0,102,45.17,102,12.92,102,3.6045,183
1,2,2013,0.000975,82,22.0,82,47.65,82,13.284,82,3.5997,132
1,3,2013,0.001434,68,22.0,68,45.01,68,12.628,68,3.4855,123
1,4,2013,0.002356,52,24.0,52,53.55,52,15.084,52,3.1774,105
1,5,2013,0.001315,54,20.0,54,38.42,54,17.139,54,3.5616,100
1,6,2013,0.001805,70,22.0,70,46.15,70,14.871,70,3.6107,126
1,7,2013,0.001436,81,23.0,81,52.92,81,14.462,81,3.6044,147
1,8,2013,0.001464,108,24.0,109,52.16,109,12.631,109,3.6085,200
1,9,2013,0.00169,131,23.0,131,50.7,131,14.041,131,3.6003,203
1,10,2013,0.002021,150,22.0,150,49.24,150,13.538,150,3.6069,256
1,11,2013,0.001608,185,23.0,185,51.66,185,11.774,185,3.6099,260
1,12,2013,0.002557,179,24.0,179,53.91,179,12.095,179,3.566,309
1,13,2013,0.001683,187,24.0,186,53.3,186,12.347,187,3.5276,295
1,14,2013,0.002145,205,22.0,205,48.61,205,12.536,205,3.6046,303
1,15,2013,0.001935,205,22.0,205,48.82,205,11.829,205,3.5694,298
1,16,2013,0.001867,229,23.0,229,48.68,229,11.762,229,3.606,342
1,17,2013,0.001818,223,22.0,223,50.97,223,11.374,223,3.603,348
1,18,2013,0.001625,314,23.0,314,53.03,314,11.568,314,3.606,436
1,19,2013,0.001672,291,24.0,291,60.77,291,11.068,291,3.6044,421
1,20,2013,0.001974,298,25.0,298,59.52,298,9.657,298,3.5864,440
1,21,2013,0.00216,256,23.0,256,58.7,256,11.193,256,3.5756,383
1,22,2013,0.001831,202,23.0,202,55.17,202,12.72,202,3.6007,309
1,23,2013,0.002401,167,23.0,167,53.41,167,10.486,167,3.531,284
2,0,2013,0.001895,134,22.0,134,51.54,134,9.87,134,4.5337,192
2,1,2013,0.0018,111,22.0,111,45.31,111,13.724,111,3.6487,188
2,2,2013,0.001042,74,22.0,74,44.77,74,14.456,74,3.6952,112
2,3,2013,0.001997,90,24.0,91,42.03,91,13.3,91,3.6135,123
2,4,2013,0.001285,55,21.0,55,40.1,55,16.579,55,3.6376,77
2,5,2013,0.002266,46,22.5,46,44.39,46,12.874,46,3.6528,79
2,6,2013,0.002052,83,22.0,83,49.25,83,11.928,83,3.6496,120
2,7,2013,0.00164,91,23.0,91,46.05,91,15.235,91,5.3971,141
2,8,2013,0.00148,99,22.0,99,43.56,99,17.528,99,5.1076,156
2,9,2013,0.001334,128,22.0,128,42.36,128,14.542,128,3.6136,203
2,10,2013,0.001776,161,23.0,161,43.11,161,12.297,161,3.6413,233
2,11,2013,0.001846,158,24.0,158,53.59,158,12.967,158,3.6257,230
2,12,2013,0.001844,178,23.5,178,47.72,178,13.687,178,3.6472,265
2,13,2013,0.002003,200,24.0,200,48.46,200,11.517,200,3.6492,290
2,14,2013,0.001768,178,22.0,178,49.2,178,11.325,178,3.6472,264
2,15,2013,0.00172,192,22.0,192,45.29,192,13.536,192,3.6684,275
2,16,2013,0.001396,232,22.0,232,46.54,232,13.717,232,3.6534,331
2,17,2013,0.001891,210,22.0,210,46.48,210,11.724,210,3.6496,320
2,18,2013,0.002116,266,24.0,266,51.5,266,10.286,266,3.6513,361
2,19,2013,0.002103,306,24.0,306,53.5,306,10.762,306,3.6519,399
2,20,2013,0.001737,271,25.0,271,55.18,271,10.081,271,3.6515,376
2,21,2013,0.002375,303,24.0,303,52.74,303,11.233,303,3.6491,395
2,22,2013,0.001799,207,24.0,207,47.43,207,13.388,207,3.655,289
2,23,2013,0.001718,180,24.0,180,53.86,180,12.273,180,3.6049,271
3,0,2013,0.001942,156,25.0,156,55.92,156,11.979,156,3.6566,248
3,1,2013,0.00173,125,22.0,125,51.8,125,11.824,125,4.7157,182
3,2,2013,0.00135,90,24.0,90,53.36,90,11.261,90,3.6572,155
3,3,2013,0.003322,78,25.5,78,58.68,78,7.396,78,3.6496,108
3,4,2013,0.001593,66,23.0,66,49.13,66,18.379,66,3.6237,112
3,5,2013,0.001549,80,27.0,80,52.86,80,17.175,80,3.655,115
3,6,2013,0.001568,88,23.0,88,54.01,88,13.174,88,4.3794,135
3,7,2013,0.00177,85,24.0,85,45.73,85,14.85,85,5.6803,118
3,8,2013,0.001527,139,22.0,139,45.07,139,17.618,139,4.3126,208
3,9,2013,0.001503,186,23.0,186,50.44,186,15.326,186,3.9974,254
3,10,2013,0.00173,199,24.0,199,41.16,199,13.055,199,3.6467,273
3,11,2013,0.002123,183,24.0,184,46.37,184,14.199,184,3.6886,298
3,12,2013,0.001756,170,24.5,170,53.04,170,14.356,170,3.6759,251
3,13,2013,0.002099,179,24.0,179,49.95,179,12.217,179,3.8494,249
3,14,2013,0.00199,225,25.0,225,52.23,225,11.821,225,3.6443,331
3,15,2013,0.001497,213,24.0,213,51.85,213,13.448,213,3.6999,285
3,16,2013,0.001633,281,25.0,281,53.01,281,12.791,281,3.7772,381
3,17,2013,0.001563,244,24.0,244,52.77,244,12.86,244,5.5752,336
3,18,2013,0.002047,269,24.0,269,50.38,269,12.38,269,3.7747,378
3,19,2013,0.001917,354,26.0,355,58.62,355,11.491,355,3.7329,482
3,20,2013,0.001771,341,25.0,341,54.1,341,11.238,341,3.6888,459
