month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.01342,25,63,45,135.6,25,3.002,45,0.534,47
1,1,2012,0.007883,27,62,47,149.5,27,3.457,47,0.5819,54
1,2,2012,0.01036,21,60,45,117.2,21,3.771,45,0.5549,46
1,3,2012,0.004452,17,63,33,131.4,17,4.08,33,0.5441,41
1,4,2012,0.01319,15,62,24,104.3,15,3.291,24,0.4914,30
1,5,2012,0.005614,9,48,21,79.5,9,5.785,21,0.6418,23
1,6,2012,0.007394,13,69,23,89.19,13,3.54,23,0.5319,29
1,7,2012,0.007404,17,61.5,32,106.9,17,4.117,32,0.537,44
1,8,2012,0.006907,27,57,49,116.4,27,5.67,49,0.5884,56
1,9,2012,0.009146,36,66,58,121.8,36,5.599,58,0.5939,63
1,10,2012,0.01251,37,54.5,58,112.7,37,5.591,58,0.6156,61
1,11,2012,0.008271,31,54.5,52,108.9,31,5.503,52,0.5884,55
1,12,2012,0.01216,39,57,71,99.37,39,3.216,71,0.5766,81
1,13,2012,0.01284,47,59,75,108.5,47,3.506,75,0.5577,87
1,14,2012,0.006117,57,62,83,94.78,57,4.632,83,0.5632,99
1,15,2012,0.007866,52,54,80,116.6,52,3.749,80,0.5777,87
1,16,2012,0.007828,63,59.5,94,110.6,63,4.128,94,0.5881,101
1,17,2012,0.009889,65,57.5,102,108.8,65,2.715,102,0.5502,115
1,18,2012,0.007821,51,59,90,108.4,51,3.326,90,0.5884,105
1,19,2012,0.007551,51,59.5,84,108.7,51,4.086,84,0.5417,98
1,20,2012,0.007143,67,60.5,110,133.5,68,3.76,110,0.5827,125
1,21,2012,0.01173,45,59,73,134.2,45,2.985,73,0.5686,88
1,22,2012,0.01466,50,61,75,132.8,50,3.08,75,0.5542,85
1,23,2012,0.008478,37,57,64,100.9,37,3.404,64,0.5763,76
2,0,2012,0.005896,34,60,60,109.4,34,4.138,60,0.5807,71
2,1,2012,0.009223,31,63,53,106,31,5.034,53,0.6036,61
2,2,2012,0.007026,19,58,28,101.8,19,5.519,28,0.6043,32
2,3,2012,0.004948,20,56,32,104.6,20,5.597,32,0.5836,37
2,4,2012,0.006016,27,64,40,96.43,27,4.653,40,0.5896,45
2,5,2012,0.006603,25,65,37,114.5,25,4.011,37,0.5794,43
2,6,2012,0.01159,29,61,45,131.4,29,2.893,45,0.5944,49
2,7,2012,0.0155,31,60.5,60,118,31,2.944,60,0.5601,73
2,8,2012,0.005406,38,56,70,83.12,38,5.694,70,0.5861,76
2,9,2012,0.007752,54,58,94,110.4,54,5.438,94,0.5891,116
2,10,2012,0.007441,70,64,98,107.2,70,4.421,98,0.5933,106
2,11,2012,0.009417,44,60,87,118.2,44,5.292,87,0.5704,99
2,12,2012,0.007678,42,55,77,110,42,5.764,77,0.6093,83
2,13,2012,0.007249,68,58.5,104,101.1,68,4.564,104,0.5926,116
2,14,2012,0.007594,68,52,107,112,68,4.183,107,0.616,120
2,15,2012,0.007042,53,58,88,108.5,53,5.078,88,0.6148,101
2,16,2012,0.007709,86,64.5,122,110.4,86,3.833,122,0.5884,135
2,17,2012,0.009328,65,62,109,128.3,65,3.78,109,0.5315,126
2,18,2012,0.00808,66,64,109,109.2,66,4.108,109,0.5806,129
2,19,2012,0.008325,81,67,123,128.2,81,4.127,123,0.5355,143
2,20,2012,0.006867,87,74,128,125.1,87,4.706,128,0.5843,149
2,21,2012,0.007648,62,68.5,118,98.32,62,4.999,118,0.5962,138
2,22,2012,0.007817,83,52,141,108.2,83,5.535,141,0.6036,156
2,23,2012,0.01074,55,48.5,94,81.84,55,4.941,94,0.6035,103
3,0,2012,0.006807,59,56,100,93.47,59,5.056,100,0.594,111
3,1,2012,0.004703,45,54,80,93.37,45,5.455,80,0.6145,87
3,2,2012,0.004603,35,52,59,89.98,35,5.414,59,0.5884,68
3,3,2012,0.009231,24,52,40,126.9,24,4.511,40,0.5941,48
3,4,2012,0.006313,31,46.5,50,101.2,31,5.121,50,0.6029,60
3,5,2012,0.007672,31,62,53,82.81,31,4.66,53,0.6227,57
3,6,2012,0.007166,33,60,57,122.8,33,4.776,57,0.5933,62
3,7,2012,0.008091,40,63,62,122.6,40,5.068,62,0.6276,64
3,8,2012,0.005034,37,55.5,64,116.8,37,4.836,64,0.5873,69
3,9,2012,0.009001,40,59,80,115.4,40,4.478,80,0.593,87
3,10,2012,0.006868,52,56.5,104,108.4,52,4.567,104,0.6058,114
3,11,2012,0.01152,66,67,110,112.4,66,3.299,110,0.5916,121
3,12,2012,0.00813,67,63.5,102,128.3,67,3.273,102,0.5976,116
3,13,2012,0.008825,60,70,101,113.2,60,2.874,101,0.5555,114
3,14,2012,0.005292,55,57,94,94.41,55,3.922,94,0.5869,109
3,15,2012,0.007598,68,55.5,112,111.2,68,3.644,112,0.5806,135
3,16,2012,0.008354,71,62,111,111.4,71,3.523,111,0.5937,128
3,17,2012,0.00661,101,54,159,104.8,102,5.337,159,0.6163,169
3,18,2012,0.01046,79,65,151,113.3,79,3.768,151,0.5989,168
3,19,2012,0.009965,103,67,151,120.1,103,3.642,151,0.5964,170
3,20,2012,0.007475,134,59,189,122.7,134,3.712,189,0.6131,213
3,21,2012,0.006676,85,54,160,105.6,85,5.126,160,0.6062,182
3,22,2012,0.005665,84,57,149,113.6,84,4.439,149,0.5963,162
3,23,2012,0.006363,52,59,83,103.6,52,4.592,83,0.5595,112
4,0,2012,0.008223,42,54.5,68,133.9,42,4.288,68,0.5999,77
4,1,2012,0.013,35,50,55,110.9,35,4.127,55,0.6005,56
4,2,2012,0.01919,36,54,55,98.2,36,2.011,55,0.5894,59
4,3,2012,0.01184,20,47,34,80.38,20,4.188,34,0.6143,38
4,4,2012,0.01104,31,56,38,117.9,31,1.746,38,0.58,42
4,5,2012,0.008615,20,65,29,95.12,20,3.247,29,0.6168,31
4,6,2012,0.00847,35,53,46,96.32,35,2.537,46,0.6245,48
4,7,2012,0.005642,46,55.5,62,94.88,46,3.339,62,0.5955,68
4,8,2012,0.006908,38,61,58,117.6,38,3.342,58,0.5845,61
4,9,2012,0.007812,51,66.5,76,112.9,51,2.869,76,0.5612,92
4,10,2012,0.007879,67,53.5,92,95.89,67,3.823,92,0.6167,98
4,11,2012,0.005926,55,59.5,66,103.8,55,4.316,66,0.6008,77
4,12,2012,0.008954,66,54,97,102,66,4.057,97,0.6102,116
4,13,2012,0.008731,75,59,104,104.6,75,3.421,104,0.5909,124
4,14,2012,0.01547,80,64,105,107.5,80,2.056,105,0.6019,122
4,15,2012,0.006724,71,64,121,108.8,71,2.877,121,0.5783,132
4,16,2012,0.005231,69,55,101,98.98,69,4.716,101,0.6002,113
4,17,2012,0.00775,79,55,118,108.7,79,4.158,118,0.5832,134
4,18,2012,0.009404,78,62,113,111.6,78,3.356,113,0.6042,130
4,19,2012,0.008947,114,61.5,154,124.9,114,3.214,154,0.5727,173
4,20,2012,0.006901,105,55,158,104.5,105,5.217,158,0.6027,177
4,21,2012,0.005058,82,56,127,101.5,82,5.436,127,0.5938,137
4,22,2012,0.01078,90,57,122,103,90,2.868,122,0.5899,139
4,23,2012,0.0108,55,63,91,123.5,55,2.925,91,0.5617,102
5,0,2012,0.005359,75,53,131,103.2,76,5.679,131,0.6058,143
5,1,2012,0.003801,54,50,95,122.9,54,5.29,95,0.6217,109
5,2,2012,0.006335,59,53,84,90.53,59,4.254,84,0.5716,93
5,3,2012,0.008912,36,54,63,86.4,36,6.93,63,0.5814,85
5,4,2012,0.00483,40,51,55,95.94,40,6.87,55,0.6293,62
5,5,2012,0.005966,38,51,53,77.01,38,4.895,53,0.6197,57
5,6,2012,0.00837,28,57,40,115.1,28,3.738,40,0.5866,46
5,7,2012,0.01162,31,48.5,44,118.4,31,5.109,44,0.5517,54
5,8,2012,0.01022,45,56.5,88,124.9,45,5.315,88,0.592,105
5,9,2012,0.006856,68,60,110,101.7,68,4.774,110,0.5985,123
5,10,2012,0.007658,77,60,107,109.9,77,4.813,107,0.6033,117
5,11,2012,0.005793,79,58,146,94.32,79,5.442,146,0.5989,170
5,12,2012,0.007426,84,57,129,104.3,84,4.078,129,0.6029,139
5,13,2012,0.005944,79,61,119,107.7,79,4.939,119,0.6021,134
5,14,2012,0.01118,92,54,138,104.3,92,4.789,138,0.5878,148
5,15,2012,0.00858,100,54.5,148,117.5,100,5.196,148,0.6014,156
5,16,2012,0.006775,96,51,153,97.18,96,4.941,153,0.6096,171
5,17,2012,0.006643,110,51.5,170,93.78,110,6.147,170,0.609,190
5,18,2012,0.007192,116,50,185,106.6,116,6.308,185,0.6134,199
5,19,2012,0.007483,108,54,175,105.6,108,5.756,175,0.6126,198
5,20,2012,0.006167,121,56,181,108.6,121,5.469,181,0.5967,212
5,21,2012,0.006353,90,51.5,162,113.6,90,5.702,162,0.6051,185
5,22,2012,0.008106,120,54,187,99.8,120,4.944,187,0.6018,216
5,23,2012,0.007534,84,57,139,119.6,84,5.245,139,0.6044,152
6,0,2012,0.007114,83,54,137,104.8,83,5.461,137,0.603,150
6,1,2012,0.006338,66,53,113,113,66,4.656,113,0.6093,122
6,2,2012,0.00525,56,53,93,106.3,56,5.816,93,0.62,101
6,3,2012,0.005323,27,48,61,82.51,27,3.936,61,0.5729,71
6,4,2012,0.005787,41,55,61,83.7,41,3.561,61,0.6028,66
6,5,2012,0.005219,31,51,51,96.95,31,5.858,51,0.6161,59
6,6,2012,0.00722,39,51,58,74.04,39,5.385,58,0.613,65
6,7,2012,0.006625,38,49,72,96.15,38,6.08,72,0.6233,81
6,8,2012,0.004635,56,55,91,95.77,56,5.867,91,0.5994,119
6,9,2012,0.007928,64,54,93,92.25,64,4.514,93,0.5882,110
6,10,2012,0.006903,68,54,102,96.62,68,5.489,102,0.6085,116
6,11,2012,0.008511,74,56,109,104.6,74,3.831,109,0.6084,116
6,12,2012,0.007195,76,56,129,113,76,4.776,129,0.5975,139
6,13,2012,0.007819,91,55,140,104.1,91,4.925,140,0.6056,165
6,14,2012,0.007223,74,54,119,110.6,74,5.438,119,0.5906,136
6,15,2012,0.006021,100,57,147,121.2,100,4.107,147,0.6065,174
6,16,2012,0.005761,104,53,151,116.1,104,5.65,151,0.6162,180
6,17,2012,0.00756,108,56,164,109.1,108,5.337,164,0.6173,186
6,18,2012,0.007446,90,58,162,109.6,90,4.825,162,0.593,196
6,19,2012,0.007774,117,57,199,104.7,117,4.388,199,0.6052,222
6,20,2012,0.005851,103,54,155,106.8,103,5.407,155,0.5913,175
6,21,2012,0.00791,118,56,197,110.6,118,5.048,197,0.6059,227
6,22,2012,0.006078,128,55,170,104.5,128,5.476,170,0.6028,190
6,23,2012,0.007921,77,57.5,126,116.8,77,4.455,126,0.6069,151
7,0,2012,0.008273,69,60,107,123.2,69,5.026,107,0.6136,119
7,1,2012,0.005471,85,54,136,96.97,85,5.91,136,0.6254,144
7,2,2012,0.007997,45,59,80,129.5,45,3.386,80,0.5774,92
7,3,2012,0.007408,48,58,76,111,48,3.446,76,0.595,88
7,4,2012,0.007264,45,52,65,106.7,45,4.118,65,0.6052,70
7,5,2012,0.007098,22,64,41,126,22,4.09,41,0.4995,50
7,6,2012,0.00752,38,60,66,114.9,38,3.766,66,0.5415,76
7,7,2012,0.005926,36,55.5,76,120.2,36,4.637,76,0.5403,96
7,8,2012,0.00776,69,61.5,88,124.7,69,4.565,88,0.5644,96
7,9,2012,0.008385,72,55,100,104.5,72,4.505,100,0.5864,116
7,10,2012,0.01046,72,59,103,120.2,72,3.327,103,0.5412,113
7,11,2012,0.006303,96,57.5,138,103.5,96,5.507,138,0.6105,149
7,12,2012,0.006694,78,59,121,109.1,78,4.922,121,0.5339,133
7,13,2012,0.007592,82,59,122,115,82,5.142,122,0.5778,135
7,14,2012,0.01243,106,56,150,117,106,3.758,150,0.5223,167
7,15,2012,0.007694,92,60,143,126,92,4.711,143,0.5872,158
7,16,2012,0.01069,94,62,161,121.1,94,5.453,161,0.5931,177
7,17,2012,0.01255,105,58,159,110,105,6.016,159,0.6043,183
7,18,2012,0.01314,106,60,161,114.4,106,4.107,161,0.5989,173
7,19,2012,0.008873,69,58.5,118,114.1,69,5.732,118,0.6021,142
7,20,2012,0.006912,120,58,196,105.4,120,6.551,196,0.6168,218
7,21,2012,0.005893,104,54,168,110.4,104,5.553,168,0.6155,186
7,22,2012,0.01023,118,55,169,96.05,118,5.423,169,0.6191,185
7,23,2012,0.007855,89,62,129,108.2,89,5.739,129,0.6116,142
8,0,2012,0.006843,36,58,56,120.5,36,5.222,56,0.5657,68
8,1,2012,0.006626,41,58,64,106.4,41,5.481,64,0.5603,72
8,2,2012,0.007995,30,55,41,100.2,30,5.272,41,0.5981,50
8,3,2012,0.009269,24,61,37,143.9,24,5.022,37,0.5841,42
8,4,2012,0.009072,24,62,35,135.8,24,5.163,35,0.5515,44
8,5,2012,0.007903,24,59,39,120.6,24,6.366,39,0.6324,45
8,6,2012,0.008855,22,59,37,140,22,6.372,37,0.6211,42
8,7,2012,0.008023,23,59,46,114.4,23,5.849,46,0.6069,50
8,8,2012,0.01172,41,64,63,140.7,42,2.847,63,0.54,69
8,9,2012,0.008087,34,56,69,117.5,34,4.635,69,0.6032,77
8,10,2012,0.009,46,64.5,76,120.4,46,4.37,76,0.5526,83
8,11,2012,0.007035,60,59,84,118,60,4.558,84,0.5447,89
8,12,2012,0.009202,51,58.5,76,122.1,51,4.068,76,0.5622,87
8,13,2012,0.006758,62,59,86,119.4,62,5.516,86,0.5751,98
8,14,2012,0.007782,53,61,81,104.6,53,5.027,81,0.5804,94
8,15,2012,0.01179,69,59,95,112.8,69,2.942,95,0.5653,112
8,16,2012,0.00998,80,58,116,100,80,4.826,116,0.6024,132
8,17,2012,0.00721,87,59,121,101.4,87,4.85,121,0.6025,134
8,18,2012,0.007543,60,57,92,100.4,60,5.441,92,0.57,110
8,19,2012,0.006031,71,58,105,105.3,71,4.945,105,0.587,115
8,20,2012,0.006674,81,58,123,118.8,81,5.601,123,0.5984,142
8,21,2012,0.008042,79,57,115,104.7,79,4.989,115,0.5938,142
8,22,2012,0.007528,52,56,74,101.5,52,3.858,74,0.5878,87
8,23,2012,0.006883,69,56,96,95.03,69,4.5,96,0.6002,111
9,0,2012,0.005612,43,60,56,91.03,43,4.41,56,0.5768,59
9,1,2012,0.008945,35,58.5,50,126.9,35,5.649,50,0.5523,59
9,2,2012,0.01019,20,70,32,136.5,20,3.213,32,0.4756,36
9,3,2012,0.008065,19,60,30,138.3,19,3.219,30,0.5206,33
9,4,2012,0.007662,18,65.5,28,99.59,18,5.561,28,0.4959,32
9,5,2012,0.008249,17,53,23,182.7,17,2.918,23,0.6243,25
9,6,2012,0.003666,18,60,32,102.3,18,5.118,32,0.6234,36
9,7,2012,0.01239,26,62.5,34,148,26,2.913,34,0.5764,36
9,8,2012,0.009982,29,67,39,129.1,29,3.827,39,0.5654,46
9,9,2012,0.006986,25,59,41,89.79,25,5.629,41,0.545,49
9,10,2012,0.006868,39,60.5,76,98.12,39,5.488,76,0.6129,75
9,11,2012,0.005906,44,57,61,108.3,43,5.322,62,0.5531,70
9,12,2012,0.01065,48,61,73,140.3,48,4.187,73,0.586,78
9,13,2012,0.005952,50,54,64,98.93,50,4.956,64,0.5699,72
9,14,2012,0.01016,36,61,59,110.6,36,4.862,59,0.5963,63
