month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.003064,34,27,60,59.42,34,15.17,60,3.093,62
1,1,2012,0.002593,37,24,55,53.82,37,14.11,55,3.03,57
1,2,2012,0.00124,21,24.5,26,52.39,21,16.6,26,2.988,25
1,3,2012,0.002364,11,35.5,16,53.44,11,11.73,16,2.839,16
1,4,2012,0.001014,4,23,11,37.11,4,18.24,11,2.996,11
1,5,2012,0.001259,8,24,16,34.1,8,19.53,16,3.123,17
1,6,2012,0.001417,5,23,11,34.32,5,17.04,11,3.02,12
1,7,2012,0.0009824,16,23,22,37.95,16,18.52,22,2.972,23
1,8,2012,0.001104,14,22,24,45.42,14,20.35,24,3.185,25
1,9,2012,0.001308,30,26,48,43.44,30,18.07,48,3.184,50
1,10,2012,0.002462,35,28,61,55.98,35,13.85,61,3.04,61
1,11,2012,0.00253,36,41,58,57.72,36,10.67,58,3.003,60
1,12,2012,0.001594,40,28,57,57.66,40,14.22,57,3.03,59
1,13,2012,0.002596,46,27,80,60.14,46,11.59,80,3.151,82
1,14,2012,0.001348,51,24,88,48.03,51,14.25,88,3.071,93
1,15,2012,0.001358,58,27,85,59.61,58,13.12,85,3.061,86
1,16,2012,0.001793,58,34,81,57.18,58,10.93,81,3.092,83
1,17,2012,0.004162,63,43,102,58.5,63,10.71,102,3.06,103
1,18,2012,0.00299,77,34,131,68.64,77,13.01,131,3.013,139
1,19,2012,0.002749,55,33,101,59.28,55,11.89,101,3.078,104
1,20,2012,0.003867,74,41,117,71.51,74,7.621,117,2.974,125
1,21,2012,0.003394,73,42.5,114,71,73,9.48,114,3.046,123
1,22,2012,0.00285,69,36,105,70.49,69,9.169,105,3.123,109
1,23,2012,0.001419,42,26,76,56.33,42,14.53,76,3.068,80
2,0,2012,0.004054,32,24,54,64.05,32,11.63,54,3.013,57
2,1,2012,0.002197,19,31,24,52.96,19,11.4,24,2.942,23
2,2,2012,0.002255,16,24,23,55.09,16,18.84,23,3.084,23
2,3,2012,0.001041,8,22,12,35.23,8,17.73,12,3.008,12
2,4,2012,0.001847,8,23,12,61.97,8,18.19,12,3.142,13
2,5,2012,0.001038,10,31,19,48.27,10,8.479,19,2.897,19
2,6,2012,0.008498,4,43,12,49.48,4,8.322,12,3.123,13
2,7,2012,0.0006594,9,22,13,41.98,9,21.76,13,2.946,15
2,8,2012,0.001473,17,23,29,54.34,17,15,29,3.126,29
2,9,2012,0.001906,20,24,41,46.1,20,14.03,41,3.118,42
2,10,2012,0.001597,29,25,51,54.48,29,13.08,51,3.069,50
2,11,2012,0.001513,33,23,53,49.94,33,17.98,53,3.11,53
2,12,2012,0.00207,27,25,53,50.49,27,16.93,53,3.148,52
2,13,2012,0.002122,34,24,51,53.58,34,14.87,51,2.98,54
2,14,2012,0.001715,41,26,70,55.54,41,14.02,70,3.066,71
2,15,2012,0.002551,53,24,85,55.84,53,13.61,85,3.156,86
2,16,2012,0.001443,53,27,106,57.97,53,12.33,106,3.122,110
2,17,2012,0.002169,57,27,95,60.24,57,10.95,95,3.084,99
2,18,2012,0.002053,44,28,83,70.59,44,14.5,83,3.029,85
2,19,2012,0.002003,59,29,103,61.79,59,12.55,103,3.122,109
2,20,2012,0.002056,64,26,101,69.11,64,12.69,101,2.997,101
2,21,2012,0.001826,52,31,89,61.82,52,11.43,89,3.036,90
2,22,2012,0.002498,64,24,100,51.19,64,11.91,100,2.999,102
2,23,2012,0.001749,47,31,80,60.74,47,12.34,80,2.986,83
3,0,2012,0.002785,36,27,56,56.63,36,13.02,56,3.077,57
3,1,2012,0.004104,17,26,24,60.38,17,13.56,24,2.98,26
3,2,2012,0.003167,8,37.5,24,61.75,8,9.428,24,2.983,25
3,3,2012,0.000753,11,43,23,51.8,11,10.8,23,3.002,25
3,4,2012,0.003595,9,29,21,55.08,9,9.499,21,3.062,20
3,5,2012,0.000158,5,22,13,35.7,5,21.46,13,3.479,14
3,6,2012,0.002062,8,29,15,69.82,8,12.89,15,2.845,16
3,7,2012,0.0003695,23,41,39,57.16,23,18.33,39,3.07,39
3,8,2012,0.004097,13,25,23,62.69,13,13.94,23,3.141,25
3,9,2012,0.001953,15,27,29,54.44,15,18.72,29,3.502,31
3,10,2012,0.00276,30,24,47,47.38,30,12.41,47,3.018,49
3,11,2012,0.002615,30,28,54,53.64,30,15.73,54,3.395,58
3,12,2012,0.001568,49,26,68,59.47,49,15.2,68,3.049,69
3,13,2012,0.001868,36,23.5,56,54.66,36,17.3,56,3.08,57
3,14,2012,0.002089,40,27,67,53.36,40,14.69,67,3.052,69
3,15,2012,0.002905,42,26,67,69.6,42,13.94,67,3.033,73
3,16,2012,0.002601,44,24,85,50.17,44,14.28,85,3.061,86
